,Title,Subtitle,Link
0,TEN OUT OF TEN,Man Utd boss Ten Hag has turned Old Trafford into fortress again,https://www.thesun.co.uk/sport/21310414/ten-hag-man-utd-old-trafford-fortress/
1,QAT IT OUT,What happens if Qatar own Man Utd and PSG at the same time? All rules revealed,https://www.thesun.co.uk/sport/21310725/what-happens-if-qatar-group-own-man-utd-psg-champions-league/
2,STRIKER 'ON MOVE',Mason Greenwood's potential salary revealed as he eyes career change,https://www.thesun.co.uk/sport/21304445/mason-greenwood-new-salary-revealed/
3,VAN DAMN,Man Utd cut three stars from Europa League squad ahead of Barcelona,https://www.thesun.co.uk/sport/21309690/man-utd-europa-league-squad-barcelona/
4,ROLEX,Win an incredible Rolex Starbucks Submariner or £12k cash alternative from just 89p,https://www.thesun.co.uk/sport/betting-tips/18922011/win-rolex-7dp/
5,GUNNING FOR IT,I feared I'd die in boozy sesh with Parlour - now I'm backing Arteta's team,https://www.thesun.co.uk/sport/21310667/grimandi-ray-parlour-arsenal-double-arteta/
6,LEGAL HELP,Man City hire Partygate lawyer to defend financial breaches,https://www.thesun.co.uk/sport/21308209/man-city-premier-league-charges-lawyer/
7,PEP TALK,Man City ‘expect Guardiola will QUIT before punishment for financial breaches’,https://www.thesun.co.uk/sport/21308903/man-city-expect-pep-guardiola-quit-financial-breaches/
8,EF-HELL,Man City NOT guaranteed place in EFL if they are kicked out of Premier League,https://www.thesun.co.uk/sport/21301076/man-city-relegation-financial-breaches-efl-fears/
9,RANKED,Best casino welcome bonuses - UK casino offers for February 2023,https://www.thesun.co.uk/betting/21097803/casino-welcome-bonus/
10,CAS STRAPPED,How Man Utd could line up against Leeds as Ten Hag rules out three stars,https://www.thesun.co.uk/sport/21304654/man-utd-line-up-leeds-ten-hag-casemiro/
11,RON TOP,Ronaldo and Bonucci donate signed jerseys for Turkey earthquake appeal,https://www.thesun.co.uk/sport/21309195/cristiano-ronaldo-leonardo-bonucci-signed-jersey-turkey-earthquake/
12,'EVERYTHING TRANSPARENT',Yaya Toure's agent denies accepting secret Man City payments,https://www.thesun.co.uk/sport/21303772/yaya-toure-agent-denial-secret-man-city-payments/
13,WAR CRY,Man City ready to go to war over 115 financial charges & could go to SUPREME COURT,https://www.thesun.co.uk/sport/21306152/man-city-financial-charges-supreme-court-fight/
14,DAVE KIDD,Prem's most iconic moments wiped out if City get points ban including ‘Aguerooo’,https://www.thesun.co.uk/sport/21297973/premier-league-man-city-finances-gerrard-slip-aguerooo/
15,SHARP BLADE,Wrexham miss out on Hollywood ending as Sheff Utd score late winner in FA Cup,https://www.thesun.co.uk/sport/21310028/wrexham-miss-out-fa-cup-sheffield-united-winner/
16,PRAY FOR ATSU,Christian Atsu’s agent in agonising wait for updates after Turkey earthquakes,https://www.thesun.co.uk/sport/21308527/chelsea-christian-atsu-wait-updates-quake/
17,COR BLIMEY,Leeds blow as manager target Corberan signs new contract at West Brom,https://www.thesun.co.uk/sport/21309814/carlos-corberan-contract-extension-west-brom-leeds/
18,RED JOKE,Liverpool's nearly-men of 2013-14 brutally troll Man City after FFP breaches,https://www.thesun.co.uk/sport/21297567/liverpools-man-city-premier-league-champions/
19,MAN CITY LIVE,Club could face expulsion or points deduction after Premier League charges,https://www.thesun.co.uk/sport/20652713/man-city-charged-premier-league-live-latest-updates-relegation/
20,CLAUD NINE,World's sexiest ref strips down to tiny bikini for photo shoot on the beach,https://www.thesun.co.uk/sport/21307565/worlds-sexiest-ref-bikini-beach-pictured/
21,BLUE FEELING,Man City to IGNORE relegation fears and continue transfer and contract plans,https://www.thesun.co.uk/sport/21301163/man-city-ignore-relegation-transfer/
22,LU-KING AT YOU,Chelsea 'are keeping tabs on Luis Enrique' as pressure mounts on Potter,https://www.thesun.co.uk/sport/21306296/chelsea-luis-enrique-graham-potter-manager/
23,CITY SLICKERS,Man City's last Championship team and where they are now including Prem champ,https://www.thesun.co.uk/sport/21302261/man-citys-championship-premier-league/
24,GALL-ING THEM OUT,Man City fan Liam Gallagher demands whole of Premier League investigated,https://www.thesun.co.uk/sport/21295918/liam-gallagher-premier-league-manchester-city-financial-charges/
25,FERR-GIE TIME,Dalot arrives at Utd training in stunning £250k Ferrari as he nears new deal,https://www.thesun.co.uk/sport/21305444/diogo-dalot-man-utd-training-ferrari-new-contract/
