,Title,Subtitle,Link
0,NOT FOR KEEPS,Fans mock Newcastle keeper Loris Karius' gloves and joke they're from B&Q,https://www.thesun.co.uk/sport/21520942/loris-karius-goalkeeper-gloves-trolled-newcastle-man-utd/
1,CAR BLIMEY,Maguire & Fernandes lift Carabao Cup trophy TOGETHER as fans say the same thing,https://www.thesun.co.uk/sport/21521151/maguire-fernandes-carabao-cup-man-utd/
2,BOOGIE NIGHTS,Piers Morgan slams 'embarrassing' Erik ten Hag dance but Man Utd fans love it,https://www.thesun.co.uk/sport/21521591/piers-morgan-erik-ten-hag-carabao-cup-final-dancing/
3,UNLIKELY HERO,Man Utd fans bizarrely thank Adrien Rabiot's MUM during Carabao Cup final,https://www.thesun.co.uk/sport/21520893/man-utd-rabiot-carabao-cup-casemiro/
4,'WINNING MENTALITY',Fans love it as Casemiro and Bruno argue AFTER Man Utd win Carabao Cup,https://www.thesun.co.uk/sport/21521731/bruno-fernandes-casemiro-argue-man-united-carabao-cup/
5,'BEST THING HE'S DONE',Fans claim Maguire IGNORED Glazers as he went to lift Carabao Cup,https://www.thesun.co.uk/sport/21521972/harry-maguire-carabao-cup-glazers-snub/
6,MAN UTD RATINGS,Casemiro sets United on way with fine display but Bruno has quiet final,https://www.thesun.co.uk/sport/21521041/man-utd-ratings-marcus-rashford-casemiro-bruno-fernandes/
7,PHIL YER BOOTS,Phil Jones hints at career move as he’s seen at Wembley for Carabao final,https://www.thesun.co.uk/sport/21522487/man-utd-phil-jones-carabao-cup-pundit-career-move/
8,WELL I NEV-ER,Fans in stitches as Neville taunts glum Ant & Dec during Carabao Cup final,https://www.thesun.co.uk/sport/21521245/gary-neville-ant-dec-man-utd-newcastle/
9,COR BLIMEY,Supporters stunned as they ‘spot James Corden’ in the Newcastle end at Wembley,https://www.thesun.co.uk/sport/21520726/james-corden-newcastle-fan-carabao-cup-final/
10,RIK ROLLED,Roy Keane tells Ten Hag he should RESIGN after breaking hardman's golden rule,https://www.thesun.co.uk/sport/21521967/man-utd-erik-ten-hag-dancing-roy-keane-resign/
11,TOON TERROR,Newcastle's s***housery minute-by-minute after Ten Hag's message to Man Utd,https://www.thesun.co.uk/sport/21521541/man-utd-newcastle-tactics-dark-arts-carabao-cup-final/
12,'WHAT AN ASSIST',Fans baffled as £107m Chelsea star Enzo makes huge blunder for Spurs goal,https://www.thesun.co.uk/sport/21519970/enzo-fernandez-chelsea-tottenham-goal-mistake/
13,CHELSEA RATINGS,Mount makes you wonder why he didn't start but Ziyech is anonymous,https://www.thesun.co.uk/sport/21519766/chelsea-player-ratings-mount-ziyech-anonymous/
14,VARCICAL,Watch referee send off Chelsea's Ziyech then RESCIND it after VAR confusion,https://www.thesun.co.uk/sport/21519487/chelsea-ziyech-var-spurs/
15,'FOUND THE CLUB SHOP',Fans in hysterics as Boehly watches Spurs loss in FULL Chelsea gear,https://www.thesun.co.uk/sport/21520201/club-shop-fans-boehly-spurs-chelsea-clobber/
16,TAKING NOTE,Petition to SACK Potter has thousands of signatures minutes after Spurs loss,https://www.thesun.co.uk/sport/21520837/chelsea-graham-potter-sack-petition-fans-tottenham/
17,'DISASTERCLASS',Fans divided over footage of Loris Karius dropping clangers in warm-up,https://www.thesun.co.uk/sport/21520424/newcastle-loris-karius-warm-up-carabao-cup-final/
18,CUPSET,Fury as Man Utd fans have Glazers Out posters CONFISCATED at Carabao Cup final,https://www.thesun.co.uk/sport/21520376/man-utd-glazers-carabao-cup-ferguson/
19,WELL I NEV-ER,Hilarious moment Neville’s live stream is interrupted by Floyd Mayweather,https://www.thesun.co.uk/sport/21520679/man-utd-hilarious-stream-neville-mayweather/
20,RANGERS 1 CELTIC 2,Kyogo strikes twice as Hoops sink Gers to secure Viaplay Cup triumph,https://www.thesun.co.uk/sport/21520856/rangers-celtic-kyogo-double-viaplay-cup-old-firm-final/
21,CHANT SHAME,Spurs fan arrested for 'using homophobic language in vile chant',https://www.thesun.co.uk/sport/21521344/spurs-fan-arrested-homophobic-language/
22,NEW SHOES,Tottenham reveal special boots Kane wearing vs Chelsea after breaking record,https://www.thesun.co.uk/sport/21518818/tottenham-boots-harry-kane-chelsea-greaves-record/
23,VAN FINE,Van Gaal fined me every week for being late… I had 12 minutes to get to training,https://www.thesun.co.uk/sport/21519346/van-gaal-fined-rashford-every-thursday-late-training/
24,PROMOTION,Best new online casinos for UK players in February 2023,https://www.thesun.co.uk/betting/21169900/new-casinos/
25,CUP FINAL CARNAGE,Rangers & Celtic thugs in street war before League Cup Final at Hampden,https://www.thesun.co.uk/sport/21520714/rangers-celtic-hooligans-fight-street-cup-final-hampden/
26,RAY OF LIGHT,Man Utd & Spurs boost as Raya turns down TWO Brentford deals & hints at move,https://www.thesun.co.uk/sport/21520286/man-utd-spurs-transfer-raya-brentford-contract/
27,'FUNNIEST GOAL EVER',Watch defender pass it straight to former team-mate in huge error,https://www.thesun.co.uk/sport/21520770/funniest-goal-ever-defender-mls-kip-keller/
28,'SWEAT OR GET OUT',Fans BURN Balotelli's shirt as ex-Prem star struggles in Switzerland,https://www.thesun.co.uk/sport/21520152/mario-balotelli-shirt-burnt-fc-sion/
29,FREE PLAY,1-2-Free: Win £100 in CASH if you correctly predict three scores with Ladbrokes,https://www.thesun.co.uk/sport/21084288/ladbrokes-free-bets-game-bonus-win-100-football/
30,COME WHAT MAY,World Cup's sexiest fan poses ringside at Mayweather's exhibition bout,https://www.thesun.co.uk/sport/21517588/ivana-knoll-poses-mayweather-chalmers-london/
31,MICK TAKE,McCarthy gives brilliant and brutal reply as Blackpool’s terrible form continues,https://www.thesun.co.uk/sport/21519115/watch-mick-mccarthy-reply-blackpool-form/
32,CASH FLOW,Ratcliffe and Sheikh 'to have Man Utd bids REJECTED as Glazers want more money',https://www.thesun.co.uk/sport/21520248/man-utd-takeover-sir-jim-ratcliffe-qatari-sheikh-jassim/
33,HAIR-RAISING,‘He used to pull hair in training’ - Trippier says he ‘loves’ s***housery,https://www.thesun.co.uk/sport/21520169/kieran-trippier-dark-arts-savic-newcastle/
34,COMP,"Win a Ferrari plus £5,000 or £125k alternative from 89p with our special discount code",https://www.thesun.co.uk/sport/betting-tips/18918779/win-car-competition-7dp/
35,PRIDE OF BRITAIN,Drew Ricketts is ex-football star who is now a life-saving fire fighter,https://www.thesun.co.uk/sport/21492156/drew-ricketts-oxford-mansfield-footballer-firefighter/
36,FACE TIME,Mason Greenwood has first face-to-face meeting with Man Utd after rape charge,https://www.thesun.co.uk/sport/21514483/mason-greenwood-meeting-man-utd-bosses/
37,CAPITAL GAINS,Giroud wants ANOTHER London move as ex-Chelsea star eyes shock transfer,https://www.thesun.co.uk/sport/21515101/olivier-giroud-arsenal-chelsea-transfer-ac-milan/
38,MORE MOVES,Nottingham Forest watching Norwich defender Andrew Omobamidele,https://www.thesun.co.uk/sport/21517219/nottingham-forest-norwich-omobamidele-cooper-transfer/
39,REVIEW,Best online casinos in the UK: Top 10 casino sites for February 2023,https://www.thesun.co.uk/betting/20803800/the-best-online-casinos-in-the-uk/
40,SHOWING SHE KAR-ES,Stunning Wag Diletta shares letter to Karius as she opens up on his pain,https://www.thesun.co.uk/sport/21519073/diletta-leotta-karius-newcastle/
41,PROMOTION,Best casino bonuses for UK players: Top 10 casino sites in 2023,https://www.thesun.co.uk/betting/20754895/casino-bonus/
42,KOSS IS BOSS,West Ham and Leicester in £25m transfer war for Leverkusen’s Odilon Kossounou,https://www.thesun.co.uk/sport/21516421/odilon-koussounou-west-ham-leicester-transfer-bayer-leverkusen/
43,ALL OR NOTHING,Man City 'want Mac Allister' but face transfer fight with other Prem clubs,https://www.thesun.co.uk/sport/21518127/man-city-want-mac-allister-transfer-fight/
44,FOUL,We HATE living near a major footie ground - it's a nightmare & we're being forced out,https://www.thesun.co.uk/sport/21515038/hate-living-near-major-football-ground/
45,NOT WRIGHT,Watch Wright’s hilarious reaction as he’s forced to cut celebrations short,https://www.thesun.co.uk/sport/21514696/arsenal-ian-wright-celebration-alan-shearer/
46,LOCAL HERO,John Motson watched football in the pub on night before he passed away aged 77,https://www.thesun.co.uk/sport/21511969/john-motson-football-pub-night-passed-away/
47,WOLF CRACK,Neville shares hilarious vid of Wolves fans abusing him... and advice from Carra,https://www.thesun.co.uk/sport/21509751/gary-neville-wolves-fans-song-carragher/
48,'BEYOND UNACCEPTABLE',Chelsea fans group furiously slams death threats against Potter,https://www.thesun.co.uk/sport/21512784/chelsea-fans-group-graham-potter-death-threats/
49,WORD TO WISE,Arsenal fans say same thing as ‘Saliba pushes Gabriel & exchange angry words’,https://www.thesun.co.uk/sport/21515208/arsenal-william-saliba-gabriel-magalhaes-row-leicester/
50,LEAGUE OF THEIR OWN,"Eight ex-Prem aces you can watch in non-league, including two over-50s",https://www.thesun.co.uk/sport/21503571/ex-premier-league-players-non-league/
51,BIG DEALS,How to get free bets on football - the best bookies to claim rewards and bonuses,https://www.thesun.co.uk/betting/19779073/football-free-bets-offers-bonus-new-sign-up/
52,YOU GAR REAL?,Man Utd fans love Casemiro’s reaction to Garnacho’s bleached blonde look,https://www.thesun.co.uk/sport/21513544/man-utd-casemiro-alejandro-garnacho-blonde-hair-antony/
53,ROO KIDDING?,Man Utd fans rage at ‘Glazer agent’ Rooney as he praises ‘FANTASTIC’ owners,https://www.thesun.co.uk/sport/21516199/man-utd-glazer-ownership-wayne-rooney-praise/
54,POTT SWAP,Five bosses who could replace under-fire Potter at Chelsea if he's sacked,https://www.thesun.co.uk/sport/21462300/chelsea-graham-potter-sacked-thomas-tuchel-return/
55,JACK THE LAD,Fans in hysterics as Grealish taunts Bournemouth fans after being subbed off,https://www.thesun.co.uk/sport/21515160/grealish-man-city-bournemouth/
56,MASON TO BE DAD,Mason Greenwood becoming dad for first time weeks after charges dropped,https://www.thesun.co.uk/sport/21508971/mason-greenwood-dad-man-utd/
57,SAK OF THE NET,Saka ‘tells Arsenal he wants to STAY & closes in on £200k-a-week contract’,https://www.thesun.co.uk/sport/21496073/bukayo-saka-arsenal-new-contract/
58,GUNNERS LATEST,"Leicester win reaction, Leao summer deal interest, Giroud wants London move",https://www.thesun.co.uk/sport/21454224/arsenal-news-live-leicester-rafael-leao-giroud/
59,RED DEVILS LIVE,"Rooney labels United as title contenders, Ronaldo bags ANOTHER hat-trick",https://www.thesun.co.uk/sport/21284701/man-utd-news-live-wayne-rooney-cristiano-ronaldo-takeover-latest/
60,CHECK MAAT,Chelsea set to loan star back to Burnley for Prem promotion despite goal return,https://www.thesun.co.uk/sport/21515406/chelsea-ian-maatsen-burnley-premier-league/
61,GREAT SCOTT,Newcastle to take on Tottenham for ‘Guernsey Grealish’ who has £25m price tag,https://www.thesun.co.uk/sport/21515200/newcastle-tottenham-transfer-alex-scott/
62,BIG DEAL,Bet £5 on Premier League football and get £20 in free bets with Ladbrokes,https://www.thesun.co.uk/sport/betting-tips/19780272/ladbrokes-20-football-free-bets/
63,TOP 40,Football free bets: Get £40 bonus when you stake £10 with William Hill,https://www.thesun.co.uk/sport/20695257/william-hill-free-bets-sign-up-bonus-offer-register/
64,MONEY BACK,Get Money back as CASH up to £20 if your first football bet loses - Paddy Power,https://www.thesun.co.uk/sport/betting-tips/19782139/paddy-power-money-back-free-bets-football/
65,CABIN FEVER,Infamous abandoned £175-a-night World Cup fan cabins given incredible new use,https://www.thesun.co.uk/sport/21482014/infamous-container-homes-qatar-world-cup-incredible-new-use/
66,UGLY SCENES,Sampdoria receive PIG’S HEAD & death threat weeks after bullet was sent to club,https://www.thesun.co.uk/sport/21514443/sampdoria-pig-head-death-threat-bullet/
67,YOU'RE FIRED,Oxford United SACK manager Karl Robinson after 3-0 loss to Bristol Rovers,https://www.thesun.co.uk/sport/21518691/oxford-sack-karl-robinson/
68,THE SPECIAL RON,Watch Ronaldo net ANOTHER hat-trick for Al-Nassr and enter golden boot race,https://www.thesun.co.uk/sport/21515725/ronaldo-hat-trick-al-nassr-golden-boot/
69,UP FOR CUP,"‘To be competing with top teams for an FA Cup is massive’, says Cardiff City ace",https://www.thesun.co.uk/sport/21517649/womens-fa-cup-cardiff-city-cori-williams/
70,KARREN BRADY,Jimmy led one of few strikes to achieve anything... but there's one I'd back,https://www.thesun.co.uk/sport/21508974/jimmy-hill-rugby-union-strike-brady/
71,TROY DEENEY,Gracia did it on a rainy night in Stoke for Watford - he'll succeed at Leeds,https://www.thesun.co.uk/sport/21509222/troy-deeney-javi-gracia-leeds-watford/
72,DAVE KIDD,Rashford represents true soul of Man Utd as club is touted to shady billionaires,https://www.thesun.co.uk/sport/21453851/marcus-rashford-man-utd-takeover-glazers-kidd/
73,BLUE PARTY,Chelsea star Gallagher throws party for model Aine May as Wag shares loving pics,https://www.thesun.co.uk/sport/21502092/chelsea-gallagher-party-girlfriend-aine-may/
